cycle,item,k,steps,loss,target,marks,loops,kept
0,geo_010,0,4,0.45,The capital of Morocco is Rabat. It is a majo,✗✓✗✓,1,True
0,geo_010,1,4,0.34,The capital of Morocco is Rabat. It is the po,✓✓✓✓,0,True
0,geo_004,0,1,0.1,"The capital of Turkey is Ankara, located in t",✗✗✗✗,3,False
0,geo_004,1,4,0.17,"The capital of Turkey is Ankara, the administ",✗✗✗✗,2,False
0,geo_001,0,4,0.19,"The capital of Australia is Canberra, located",✗✗✓✗,0,False
0,geo_001,1,4,0.21,The capital of Australia is Canberra. It is t,✗✓✓✗,2,False
0,geo_013,0,4,0.15,"The capital of the Philippines is **Manila**,",✗✗✗✗,1,False
0,geo_013,1,1,0.1,The capital of the Philippines is Manila.,✗✗✗✗,1,False
0,sci_017,0,4,0.54,The nearest star to Earth is the Sun. While E,✗✗✗✗,2,False
0,sci_017,1,4,0.25,The nearest star to Earth is the Sun. This is,✓✗✗✗,2,False
1,geo_004,0,4,0.33,"The capital of Turkey is Ankara, a city locat",✗✗✗✗,3,False
1,geo_004,1,4,0.27,The correct answer is Ankara. It is the capit,✗✗✗✗,2,False
1,geo_001,0,4,0.14,The capital of Australia is Canberra.,✗✗✗✗,2,False
1,geo_001,1,2,0.15,The capital of Australia is Canberra.,✓✗✓✓,1,True
1,geo_013,0,1,0.05,The capital of the Philippines is Manila.,✗✗✗✗,3,False
1,geo_013,1,4,0.16,The capital of the Philippines is **Manila**.,✗✗✗✗,1,False
1,sci_017,0,4,0.17,The nearest star to Earth is the Sun. Proxima,✗✗✗✗,0,False
1,sci_017,1,4,0.46,The nearest star to Earth is the Sun. While P,✗✗✗✗,2,False
2,geo_010,0,4,0.21,The capital of Morocco is Rabat. It is a majo,✗✗✓✗,3,False
2,geo_010,1,4,0.44,The capital of Morocco is Rabat. It is the mo,✓✗✗✓,1,False
2,geo_004,0,1,0.1,The capital of Turkey is Ankara.,✗✗✗✗,2,False
2,geo_004,1,4,0.31,The capital of Turkey is **Ankara**. It is th,✗✗✗✗,1,False
2,geo_001,0,1,0.04,The capital of Australia is Canberra.,✓✗✓✗,0,False
2,geo_001,1,4,0.21,"The capital of Australia is Canberra, which i",✓✓✓✓,0,True
2,geo_013,0,1,0.04,"The capital of the Philippines is ""Manila.""",✗✗✗✗,3,False
2,geo_013,1,1,0.06,The capital of the Philippines is Manila.,✗✗✗✗,3,False
2,sci_017,0,4,0.33,The nearest star to Earth is the Sun. Despite,✗✗✗✗,0,False
2,sci_017,1,4,0.24,The nearest star to Earth is the Sun. It is l,✗✓✗✗,0,True
3,geo_010,0,1,0.11,The capital of Morocco is Rabat.,✗✗✗✓,1,False
3,geo_010,1,1,0.07,The capital of Morocco is Rabat.,✗✓✓✓,0,True
3,geo_004,0,4,0.13,The capital of Turkey is Ankara.,✗✗✗✗,2,False
3,geo_004,1,1,0.1,The capital of Turkey is Ankara. It is a majo,✗✗✗✗,2,False
3,geo_001,0,4,0.16,The capital of Australia is Canberra. It is t,✓✓✓✗,0,True
3,geo_001,1,1,0.07,The capital of Australia is Canberra.,✓✓✓✓,0,True
3,geo_013,0,1,0.01,The capital of the Philippines is Manila.,✗✗✓✗,1,True
3,geo_013,1,1,0.02,The capital of the Philippines is Manila.,✗✗✗✗,0,False
3,sci_017,0,3,0.13,The nearest star to Earth is the Sun. It is t,✗✗✗✗,0,False
3,sci_017,1,4,0.22,The nearest star to Earth is the Sun. While t,✗✗✓✗,1,False
4,geo_010,0,1,0.1,The capital of Morocco is Rabat. It is the ca,✓✓✓✓,0,True
4,geo_004,0,1,0.1,The capital of Turkey is Ankara.,✗✗✗✗,1,False
4,geo_004,1,1,0.02,The capital of Turkey is Ankara.,✗✗✗✗,2,False
4,geo_013,0,1,0.04,The capital of the Philippines is Manila.,✗✗✗✗,1,False
4,geo_013,1,1,0.06,The capital of the Philippines is Manila.,✗✗✗✗,1,False
4,sci_017,0,1,0.04,The nearest star to Earth is the Sun.,✗✗✓✓,0,False
4,sci_017,1,1,0.02,The nearest star to Earth is the Sun.,✗✗✗✓,1,False
5,geo_004,0,1,0.02,The capital of Turkey is Ankara.,✗✗✗✗,1,False
5,geo_004,1,1,0.03,"The capital of Turkey is Ankerli, also known ",✗✗✗✗,1,False
5,geo_013,0,1,0.08,"The capital of the Philippines is Manila, als",✗✗✗✗,0,False
5,geo_013,1,1,0.03,The capital of the Philippines is Manila.,✗✗✗✗,1,False
5,sci_017,0,1,0.03,The nearest star to Earth is the Sun.,✗✗✗✓,0,False
5,sci_017,1,4,0.23,The nearest star to Earth is the Sun. While P,✗✓✓✓,0,True
6,geo_010,0,1,0.04,The capital of Morocco is Rabat.,✓✓✗✓,0,False
6,geo_010,1,1,0.0,The capital of Morocco is Rabat.,✗✓✓✓,0,False
6,geo_004,0,1,0.01,The capital of Turkey is Ankara.,✗✗✗✗,0,False
6,geo_004,1,2,0.14,The capital of Turkey is indeed Ankara.,✗✗✗✗,0,False
6,geo_001,0,1,0.02,"The correct answer to the question ""What is t",✗✓✓✓,1,False
6,geo_001,1,1,0.05,The capital of Australia is Canberra.,✓✓✓✓,0,True
6,geo_013,0,1,0.02,The capital of the Philippines is Manila.,✗✗✗✗,2,False
6,geo_013,1,1,0.02,"The capital of the Philippines is Manila, whi",✗✗✗✗,2,False
6,sci_017,0,1,0.14,The nearest star to Earth is the Sun. I am in,✓✗✓✓,0,False
6,sci_017,1,1,0.03,The nearest star to Earth is the Sun.,✗✗✗✓,0,False
7,geo_004,0,3,0.1,The correct answer is Ankara. It is the large,✗✗✗✗,0,False
7,geo_004,1,1,0.0,The capital of Turkey is Ankara.,✗✗✗✗,0,False
7,geo_013,0,1,0.01,The capital of the Philippines is Manila.,✗✗✗✗,3,False
7,geo_013,1,1,0.02,The capital of the Philippines is Manila.,✗✗✗✗,3,False
8,geo_004,0,1,0.02,The capital of Turkey is Ankara.,✗✗✗✗,1,False
8,geo_004,1,1,0.04,The capital of Turkey is Ankara.,✗✗✗✗,0,False
8,geo_013,0,1,0.01,The capital of the Philippines is Manila.,✗✗✗✓,2,True
8,geo_013,1,1,0.05,The capital of the Philippines is Manila.,✗✗✗✓,2,False
9,geo_010,0,1,0.02,The capital of Morocco is Rabat.,✓✓✗✓,0,False
9,geo_010,1,1,0.0,The capital of Morocco is Rabat.,✓✓✓✓,0,True
9,geo_004,0,3,0.07,"The correct answer is Ankara, a city, not a c",✗✗✗✗,1,False
9,geo_004,1,4,0.24,The correct answer is **Ankara**.,✗✗✗✗,0,False
9,geo_001,0,1,0.03,"The capital of Australia is Canberra, which i",✓✗✓✓,1,False
9,geo_001,1,1,0.05,"The correct answer is ""Capitola Canberra.""",✓✓✓✗,0,False
9,geo_013,0,1,0.02,The capital of the Philippines is Manila.,✗✗✗✗,2,False
9,geo_013,1,1,0.02,The capital of the Philippines is Manila.,✗✗✗✗,3,False
9,sci_017,0,1,0.05,The nearest star to Earth is the Sun.,✗✓✗✓,0,True
9,sci_017,1,4,0.19,The nearest star to Earth is the Sun. This is,✓✓✗✓,1,True
10,geo_004,0,1,0.02,The capital of Turkey is Ankara.,✗✗✗✗,0,False
10,geo_004,1,1,0.09,"The correct answer is Akdeniz City, not Ankar",✗✗✗✗,0,False
10,geo_001,0,1,0.0,The capital of Australia is Canberra.,✓✓✓✓,0,True
10,geo_013,0,1,0.04,The capital of the Philippines is Manila.,✗✗✗✗,4,False
10,geo_013,1,1,0.13,The capital of the Philippines is Manila.,✓✗✗✗,2,True
10,sci_017,0,3,0.13,The correct answer is the Sun.,✗✗✓✓,1,False
