session,item,candidate,steps,loss,target,before,after,kept,note
0,geo_010,0,4,0.25,The capital of Morocco is Rabat. It is locate,✗✗✗✗,✓✗✗✗,1,
0,geo_010,1,1,0.11,The capital of Morocco is Rabat.,✓✗✗✗,✗✗✗✗,0,
0,geo_004,0,2,0.15,The capital of Turkey is Ankara.,✗✗✗✗,✗✗✗✗,0,
0,geo_004,1,4,0.42,"The capital of Turkey is indeed Ankara, locat",✗✗✗✗,✗✗✗✗,0,
0,geo_001,0,4,0.61,"The capital of Australia is Canberra, located",✗✗✗✗,✗✗✗✓,1,
0,geo_001,1,4,0.23,The capital of Australia is Canberra. Althoug,✗✗✗✓,✗✗✗✓,0,
0,geo_013,0,4,0.28,The capital of the Philippines is the capital,✗✗✗✗,✗✗✓✗,1,
0,geo_013,1,4,0.53,The capital of the Philippines is Manila. Whi,✗✗✓✗,✗✗✗✗,0,
0,sci_017,0,4,0.42,"The nearest star to Earth is the Sun, approxi",✗✗✗✗,✗✓✓✗,0,
0,sci_017,1,4,0.4,"The nearest star to Earth is the Sun, about 1",✗✗✗✗,✗✗✗✗,0,
1,geo_010,0,4,0.22,The capital of Morocco is Rabat. It is locate,✗✗✗✗,✓✗✗✓,1,
1,geo_010,1,4,0.26,The current capital of Morocco is Rabat. Alth,✓✗✗✓,✗✓✗✗,0,
1,geo_004,0,4,0.53,"The capital of Turkey is Ankara, the capital ",✗✗✗✗,✗✗✗✗,0,
1,geo_004,1,4,0.17,"The capital of Turkey is Ankara, established ",✗✗✗✗,✗✗✗✗,0,
1,geo_013,0,4,0.15,The capital of the Philippines is **Manila**.,✗✗✗✗,✗✗✗✗,0,
1,geo_013,1,4,0.34,The capital of the Philippines is the capital,✗✗✗✗,✗✗✗✗,0,
1,sci_017,,,,,,,0,NOCAND
2,geo_004,0,4,0.34,"The capital of Turkey is Ankara, which is the",✗✗✗✗,✗✗✗✗,0,
2,geo_004,1,4,0.41,The capital of Turkey is **Ankara**. It was e,✗✗✗✗,✗✗✗✗,0,
2,geo_013,0,4,0.31,The capital of the Philippines is Manila.,✗✗✗✗,✗✗✗✗,0,
2,geo_013,1,4,0.46,The capital of the Philippines is indeed Mani,✗✗✗✗,✓✓✗✗,1,
2,sci_017,0,1,0.13,The nearest star to Earth is the Sun. Despite,✗✗✓✗,✗✗✗✗,0,
3,geo_004,0,4,0.24,"The capital of Turkey is Ankara, which was es",✗✗✗✗,✗✗✗✗,0,
3,sci_017,0,4,0.27,"The nearest star to Earth is the Sun, located",✗✗✓✗,✗✗✓✗,0,
3,sci_017,1,4,0.19,"The nearest star to Earth is the Sun, located",✗✗✓✗,✗✗✗✗,0,
4,geo_004,0,4,0.18,The capital of Turkey is Ankara.,✗✗✗✗,✗✗✗✗,0,
4,geo_004,1,1,0.12,The capital of Turkey is Ankara. Istanbul is ,✗✗✗✗,✗✗✗✗,0,
4,sci_017,0,4,0.27,"The nearest star to Earth is the Sun, which i",✗✗✓✗,✗✗✗✗,0,
4,sci_017,1,4,0.27,"The nearest star to Earth is the Sun, located",✗✗✓✗,✗✗✗✗,0,
5,geo_004,0,4,0.36,The capital of Turkey is Ankara. It has been ,✗✗✗✗,✗✗✗✗,0,
5,geo_004,1,4,0.33,"The capital of Turkey is Ankara, even though ",✗✗✗✗,✗✗✗✗,0,
5,sci_017,0,4,0.29,"The nearest star to Earth is the Sun, about 1",✗✗✓✗,✗✗✗✓,0,
6,geo_004,0,4,0.51,"The capital of Turkey, as of the current refe",✗✗✗✗,✗✗✗✗,0,
6,geo_004,1,4,0.28,"The capital of Turkey is Ankara, which was es",✗✗✗✗,✗✗✗✗,0,
6,sci_017,,,,,,,0,NOCAND
7,geo_004,0,1,0.07,The capital of Turkey is Ankara.,✗✗✗✗,✗✗✗✗,0,
7,geo_004,1,4,0.32,The capital of Turkey is Ankara. It was the c,✗✗✗✗,✗✗✗✗,0,
7,sci_017,0,4,0.22,The nearest star to Earth is the Sun. Despite,✗✗✓✗,✗✗✗✗,0,
7,sci_017,1,4,0.38,The nearest star to Earth is the Sun. It is a,✗✗✓✗,✗✗✓✗,0,
8,geo_004,0,4,0.33,The capital of Turkey is Ankara. Historically,✗✗✗✗,✗✗✗✗,0,
8,sci_017,0,4,0.3,"The nearest star to Earth is the Sun, located",✗✗✓✗,✗✗✗✗,0,
9,geo_004,,,,,,,0,NOCAND
9,sci_017,0,4,0.47,The nearest star to Earth is the Sun. Despite,✗✗✓✗,✓✗✗✗,0,
9,sci_017,1,4,0.14,"The nearest star to Earth is the Sun, which i",✗✗✓✗,✗✗✗✗,0,
10,geo_004,0,4,0.3,"The capital of Turkey is Ankara, also known a",✗✗✗✗,✗✗✗✗,0,
10,geo_004,1,1,0.05,The capital of Turkey is Ankara.,✗✗✗✗,✗✗✗✗,0,
10,sci_017,0,4,0.15,"The nearest star to Earth is the Sun, located",✗✗✓✗,✗✓✗✓,1,
10,sci_017,1,4,0.28,The nearest star to Earth is the Sun. It is a,✗✓✗✓,✗✓✗✗,0,
11,geo_004,0,4,0.35,"The capital of Turkey is Ankara, which was es",✗✗✗✗,✗✗✗✗,0,
11,geo_013,0,1,0.01,The capital of the Philippines is Manila.,✗✗✓✗,✗✗✗✗,0,
11,sci_017,0,4,0.12,"The nearest star to Earth is the Sun, approxi",✗✓✗✓,✗✓✗✓,0,
12,geo_004,0,4,0.34,"The capital of Turkey is Ankara. Initially, t",✗✗✗✗,✗✗✗✗,0,
12,geo_004,1,4,0.19,The capital of Turkey is Ankara. While Istanb,✗✗✗✗,✗✗✗✗,0,
12,geo_013,0,4,0.24,The capital of the Philippines is **Maartan P,✗✗✓✗,✓✓✓✗,1,
12,geo_013,1,4,0.37,The capital of the Philippines is Manila. Whi,✓✓✓✗,✗✗✓✓,0,
12,sci_017,0,4,0.22,The nearest star to Earth is the Sun. It is a,✓✓✗✗,✗✗✗✗,0,
13,geo_004,0,4,0.14,The capital of Turkey is **Ankara**.,✗✗✗✗,✗✗✗✗,0,
13,geo_004,1,4,0.31,"The capital of Turkey is Ankara, which was th",✗✗✗✗,✗✗✗✗,0,
13,geo_001,0,4,0.33,The capital of Australia is Canberra. It is t,✗✗✓✓,✓✗✗✗,0,
13,geo_001,1,4,0.4,"The capital of Australia is Canberra, a centr",✗✗✓✓,✓✗✓✓,1,
14,geo_010,0,4,0.19,"The capital of Morocco is Rabat, located on t",✗✗✗✗,✓✗✗✗,1,
14,geo_010,1,4,0.53,The capital of Morocco is Rabat. While Morocc,✓✗✗✗,✗✗✓✓,1,
14,geo_004,0,4,0.2,"The capital of Turkey is Ankara, which has be",✗✗✗✗,✗✗✗✗,0,
14,geo_004,1,4,0.16,"The capital of Turkey is Ankara, which was th",✗✗✗✗,✗✗✗✗,0,
14,sci_017,0,4,1.0,"The nearest star to Earth is the Sun, despite",✗✗✗✓,✗✗✗✓,0,
15,geo_010,0,4,0.17,The capital of Morocco is Rabat. Rabat is loc,✗✗✓✓,✗✓✓✗,0,
15,geo_010,1,4,0.42,"The capital of Morocco is Rabat, located on t",✗✗✓✓,✓✗✗✗,0,
15,geo_004,0,4,1.0,Turkey is a country straddling Europe and Asi,✗✗✗✗,✗✗✗✗,0,
15,geo_004,1,4,0.44,The capital of Turkey is often referred to as,✗✗✗✗,✗✗✗✗,0,
15,geo_001,0,4,0.32,"The capital of Australia is Canberra, which i",✗✗✗✓,✓✗✓✓,1,
15,geo_001,1,4,0.31,The capital of Australia is Canberra. It is t,✓✗✓✓,✓✗✓✓,0,
15,geo_013,0,4,0.15,The capital of the Philippines is **Manila**.,✗✗✗✗,✗✗✗✗,0,
15,geo_013,1,1,0.11,The capital of the Philippines is Manila. Whi,✗✗✗✗,✓✓✓✗,0,
15,sci_017,0,4,0.41,The nearest star to Earth is the Sun. It is a,✗✗✗✗,✗✗✗✗,0,
